,equity
2016-10-18,1000.0
2016-10-19,1001.5273098892999
2016-10-20,1001.016492852755
2016-10-21,1001.7148147353844
2016-10-24,1006.6712598965046
2016-10-25,1004.8898927453426
2016-10-26,1010.792854654446
2016-10-27,1005.1043071836385
2016-10-28,1003.8371607316886
2016-10-31,1002.2424739251052
2016-11-01,996.9023604063309
2016-11-02,992.6270042537965
2016-11-03,990.6286092909551
2016-11-04,986.8153079026579
2016-11-07,994.839877395761
2016-11-08,995.6668571107268
2016-11-09,1005.3878210458159
2016-11-10,1017.665485450739
2016-11-11,1015.8918929022565
2016-11-14,1029.0094677661002
2016-11-15,1032.805203966552
2016-11-16,1029.194884556514
2016-11-17,1028.6430709810793
2016-11-18,1027.0973066997014
2016-11-21,1032.2594531335317
2016-11-22,1041.0734898032629
2016-11-23,1049.4298747199498
2016-11-25,1048.1302575706204
2016-11-28,1043.0991274983369
2016-11-29,1050.5239437855444
2016-11-30,1058.2485217285596
2016-12-01,1064.2131755296907
2016-12-02,1061.6086040854416
2016-12-05,1066.0953987214766
2016-12-06,1069.5871191579781
2016-12-07,1084.9381836909731
2016-12-08,1084.772423363491
2016-12-09,1086.1104068562468
2016-12-12,1081.3992399703466
2016-12-13,1087.8399617799482
2016-12-14,1084.6604989693128
2016-12-15,1094.1059144780597
2016-12-16,1094.37134009647
2016-12-19,1094.969257942004
2016-12-20,1102.7973234805188
2016-12-21,1104.585421025955
2016-12-22,1105.9800971915356
2016-12-23,1111.0736703740706
2016-12-27,1120.00002829312
2016-12-28,1104.9080924040668
2016-12-29,1096.9876116953703
2016-12-30,1094.057577624783
2017-01-03,1100.893268594632
2017-01-04,1103.2791959383817
2017-01-05,1100.6270936503263
2017-01-06,1102.740299373898
2017-01-09,1102.1988362003053
2017-01-10,1103.1017473533357
2017-01-11,1108.3347010909763
2017-01-12,1104.2131344783509
2017-01-13,1105.4490076720917
2017-01-17,1092.2415808620297
2017-01-18,1092.6959218322597
2017-01-19,1091.2431965625606
2017-01-20,1092.8767249556918
2017-01-23,1094.9690707403738
2017-01-24,1104.589983823408
2017-01-25,1117.4875220234048
2017-01-26,1116.8458431129586
2017-01-27,1119.9511215095652
2017-01-30,1109.9810703650696
2017-01-31,1103.118065956362
2017-02-01,1110.0748886229956
2017-02-02,1114.5780457107937
2017-02-03,1107.7745571524326
2017-02-06,1112.3196711966837
2017-02-07,1117.7963705410325
2017-02-08,1116.634263169321
2017-02-09,1119.3392904937114
2017-02-10,1113.6042121645296
2017-02-13,1115.9337130425793
2017-02-14,1122.5203121836762
2017-02-15,1137.3255294706298
2017-02-16,1137.3587184743521
2017-02-17,1138.0180865453212
2017-02-21,1148.9664337172057
2017-02-22,1148.9770554018523
2017-02-23,1151.4499194300201
2017-02-24,1152.5416258070497
2017-02-27,1154.3313909430053
